t,Neutral,Happy,Sad,Surprise,Fear,Disgust,Anger,Contempt,arousal,valence
4.6098,0.2814,0.0004,0.6012,0.0002,0.0038,0.0958,0.0172,0.0000,0.0208,-0.2814
4.6521,0.8936,0.0000,0.0986,0.0001,0.0001,0.0040,0.0035,0.0000,-0.0350,-0.2501
4.6944,0.8291,0.0000,0.1648,0.0000,0.0001,0.0022,0.0038,0.0000,-0.0784,-0.2783
4.7367,0.9474,0.0001,0.0409,0.0000,0.0002,0.0047,0.0067,0.0000,0.0056,-0.2497
4.7790,0.6788,0.0001,0.2850,0.0001,0.0012,0.0127,0.0221,0.0000,0.0159,-0.2864
4.8213,0.6582,0.0001,0.2881,0.0001,0.0012,0.0346,0.0178,0.0000,0.0109,-0.2889
4.8636,0.4667,0.0001,0.4680,0.0001,0.0019,0.0395,0.0237,0.0000,0.0175,-0.3022
4.9059,0.9513,0.0000,0.0428,0.0000,0.0000,0.0028,0.0031,0.0000,-0.0505,-0.2847
4.9482,0.6357,0.0001,0.3256,0.0001,0.0022,0.0132,0.0231,0.0000,0.0238,-0.2691
4.9905,0.7632,0.0002,0.1892,0.0001,0.0009,0.0363,0.0101,0.0000,-0.0025,-0.2647
5.0327,0.7941,0.0001,0.1363,0.0004,0.0036,0.0259,0.0396,0.0000,0.0808,-0.2340
5.0750,0.9596,0.0000,0.0341,0.0001,0.0004,0.0022,0.0036,0.0000,0.0027,-0.2141
5.1173,0.8055,0.0001,0.1611,0.0001,0.0008,0.0158,0.0166,0.0000,0.0190,-0.2733
5.1596,0.8163,0.0001,0.1524,0.0001,0.0013,0.0165,0.0132,0.0000,0.0191,-0.2511
5.2019,0.7672,0.0003,0.1546,0.0005,0.0083,0.0493,0.0199,0.0000,0.0836,-0.1989
5.2442,0.8123,0.0001,0.1625,0.0002,0.0008,0.0139,0.0102,0.0000,0.0153,-0.2607
5.2865,0.9483,0.0002,0.0352,0.0001,0.0004,0.0121,0.0037,0.0000,0.0045,-0.1945
5.3288,0.6786,0.0005,0.2053,0.0002,0.0017,0.1092,0.0045,0.0000,-0.0042,-0.2384
5.3711,0.7340,0.0004,0.2176,0.0002,0.0010,0.0412,0.0057,0.0000,-0.0240,-0.2373
5.4134,0.5477,0.0003,0.3672,0.0001,0.0022,0.0719,0.0107,0.0000,-0.0087,-0.2799
5.4557,0.7634,0.0002,0.1618,0.0001,0.0012,0.0691,0.0043,0.0000,-0.0263,-0.2669
5.4980,0.7471,0.0002,0.1815,0.0000,0.0011,0.0662,0.0038,0.0000,-0.0409,-0.2728
5.5403,0.7598,0.0002,0.1288,0.0001,0.0015,0.1046,0.0050,0.0000,-0.0047,-0.2618
5.5825,0.6007,0.0005,0.2346,0.0001,0.0029,0.1554,0.0058,0.0000,-0.0087,-0.2588
5.6248,0.5535,0.0004,0.2600,0.0001,0.0045,0.1721,0.0094,0.0000,0.0128,-0.2662
5.6671,0.6661,0.0002,0.2019,0.0001,0.0026,0.1234,0.0057,0.0000,-0.0182,-0.2691
5.7094,0.6383,0.0004,0.2295,0.0000,0.0021,0.1254,0.0042,0.0000,-0.0343,-0.2624
