t,Neutral,Happy,Sad,Surprise,Fear,Disgust,Anger,Contempt,arousal,valence
5.8845,0.0001,0.0192,0.0000,0.0000,0.0000,0.9801,0.0004,0.0002,0.3372,-0.4109
5.9172,0.0004,0.0279,0.0000,0.0000,0.0000,0.9705,0.0008,0.0003,0.3284,-0.3861
5.9499,0.0004,0.0270,0.0000,0.0000,0.0000,0.9682,0.0013,0.0031,0.3732,-0.4086
5.9826,0.0005,0.0298,0.0000,0.0000,0.0000,0.9668,0.0010,0.0018,0.3607,-0.3942
6.0153,0.0010,0.0025,0.0000,0.0000,0.0000,0.9947,0.0013,0.0004,0.3887,-0.5205
6.0480,0.0030,0.0086,0.0000,0.0001,0.0000,0.9864,0.0013,0.0006,0.3674,-0.4516
6.0807,0.0010,0.0321,0.0000,0.0001,0.0000,0.9614,0.0008,0.0046,0.3638,-0.3788
6.1134,0.0003,0.0251,0.0000,0.0001,0.0000,0.9730,0.0005,0.0010,0.3654,-0.4058
6.1461,0.0003,0.0205,0.0000,0.0001,0.0000,0.9671,0.0009,0.0110,0.4008,-0.4169
6.1787,0.0001,0.0062,0.0000,0.0004,0.0000,0.9923,0.0003,0.0007,0.4176,-0.4338
6.2114,0.0005,0.0174,0.0000,0.0014,0.0000,0.9784,0.0004,0.0020,0.4039,-0.3379
6.2441,0.0001,0.0025,0.0001,0.0007,0.0000,0.9964,0.0001,0.0001,0.4079,-0.4144
6.2768,0.0001,0.0106,0.0001,0.0008,0.0000,0.9882,0.0001,0.0002,0.4017,-0.3627
6.3095,0.0002,0.0450,0.0000,0.0068,0.0000,0.9409,0.0001,0.0071,0.4201,-0.2347
6.3422,0.0120,0.8125,0.0000,0.0008,0.0000,0.1722,0.0001,0.0024,0.2345,-0.0122
6.3749,0.0021,0.9329,0.0000,0.0002,0.0000,0.0637,0.0000,0.0011,0.1947,0.0808
6.4076,0.0018,0.9973,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,0.0855,0.2706
6.4403,0.0006,0.9990,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0659,0.3235
